,County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Employment.Private Non-farm Employment,Employment.Private Non-farm Employment Percent Change,Employment.Private Non-farm Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Housing.Units in Multi-Unit Structures,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Miscellaneous.Building Permits,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Merchant Wholesaler Sales,Sales.Retail Sales,Sales.Retail Sales per Capita,Employment.Firms.American Indian-Owned,Employment.Firms.Asian-Owned,Employment.Firms.Black-Owned,Employment.Firms.Hispanic-Owned,Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned,Employment.Firms.Total,Employment.Firms.Women-Owned
260,Denver County,CO,10.9,20.9,6.8,42.9,85.4,59296,399744,2.2,22834,2.0,3.8,10.2,30.8,0.2,3.1,80.7,53.4,50.2,266069,298864,249100,2.27,45.7,50313,33251,19.1,5958,15.8,153.0,26.9,77.3,51898,24.6,50.0,34001,600158,663862,10.6,3922.6,22790,149209,68353,11810,1.1,3.7,4.3,8.7,0.0,67500,30.2
651,McLean County,IL,11.4,22.1,6.1,42.8,94.4,9321,77572,0.7,3730,0.3,5.3,7.7,4.8,0.0,2.2,84.4,80.3,67.3,64016,71417,157200,2.54,29.2,62089,30460,14.2,246,6.0,1183.38,7.5,80.0,25788,17.9,51.3,10227,169572,174061,2.6,143.3,3361,53093,22313,13607,0.0,3.9,5.4,1.4,0.0,12693,29.8
442,Fayette County,GA,16.2,23.9,4.1,42.6,94.3,9875,38001,1.7,3182,0.4,4.5,22.0,7.1,0.1,2.1,70.9,65.0,82.9,37930,41344,231500,2.81,8.6,79977,35344,7.7,314,9.2,194.34,11.6,88.1,17446,30.4,51.6,11491,106567,109664,2.9,548.3,1712,8772,13900,13122,0.0,4.4,16.0,3.6,0.0,12696,29.8
1453,Oktibbeha County,MS,10.3,18.0,5.4,42.6,86.4,2887,11180,0.3,846,0.2,3.2,37.2,1.7,0.1,1.1,58.2,56.8,51.7,18176,21292,129200,2.42,34.4,30987,20202,33.7,257,3.7,458.2,5.5,71.4,5143,18.9,50.4,2216,47671,49414,3.7,104.0,773,1661,3878,8838,0.0,2.1,0.0,1.1,0.0,2624,22.5
604,Champaign County,IL,11.1,19.2,5.5,42.4,93.6,11532,67335,-0.9,4133,0.3,10.2,12.8,5.7,0.1,2.7,73.8,69.1,54.9,79137,89194,149500,2.35,35.6,45808,25713,22.3,1458,11.7,996.27,15.9,72.9,32489,17.6,50.1,10682,201081,207133,3.0,201.8,3744,25759,23470,12163,0.0,0.0,8.8,1.9,0.0,13525,28.3
2879,Montgomery County,VA,11.0,16.0,4.5,42.4,89.6,4825,28942,5.6,1935,0.3,5.9,4.2,3.0,0.1,2.2,87.2,84.7,54.6,34789,39217,200200,2.44,28.5,45543,23548,24.5,233,9.1,387.01,11.0,72.3,8381,17.8,47.9,4888,94392,97244,3.0,243.9,1482,972,11026,12350,0.0,0.0,0.0,0.0,0.0,6877,24.0
1224,Hampshire County,MA,14.7,15.6,3.6,42.3,93.3,12700,57927,1.7,3562,0.3,5.3,3.0,5.3,0.1,2.3,88.9,84.7,67.0,58828,62884,262600,2.31,32.6,61227,29460,13.0,193,8.2,527.26,9.8,82.6,10988,23.3,53.4,10038,158080,160939,1.8,299.8,2254,20218,15460,9962,0.0,3.4,1.9,0.0,0.0,15970,32.7
271,Hinsdale County,CO,25.7,18.7,6.2,42.2,93.8,167,183,3.4,75,1.1,0.6,0.5,3.7,0.0,1.8,95.9,92.6,78.9,388,1413,261700,2.06,4.9,56667,36365,5.1,6,1.7,1117.25,9.1,87.1,0,8.2,48.2,111,843,786,-6.8,0.8,35,0,78,9362,0.0,0.0,0.0,0.0,0.0,326,0.0
2914,York County,VA,14.6,24.1,5.3,42.0,94.9,3479,16731,-3.1,1407,0.5,5.5,13.4,5.8,0.2,3.3,77.1,72.5,75.1,24071,27258,316800,2.69,18.1,82073,36373,5.7,432,7.0,104.78,8.8,83.9,0,21.5,50.7,9868,65464,66342,1.8,624.8,1874,1497,8522,13854,0.0,6.7,6.7,0.0,0.0,4807,33.5
643,Lake County,IL,12.2,25.4,5.9,41.9,88.9,52367,324805,2.0,19636,0.9,7.2,7.5,21.0,0.1,2.0,82.3,63.3,75.9,241072,261366,254800,2.84,19.3,77469,38018,9.0,1341,18.1,443.67,27.8,87.4,163814,29.7,50.1,35286,703462,705186,0.3,1585.6,12992,260532,203362,28949,0.4,5.8,3.8,5.3,0.0,68418,28.6
