,County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Employment.Private Non-farm Employment,Employment.Private Non-farm Employment Percent Change,Employment.Private Non-farm Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Housing.Units in Multi-Unit Structures,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Miscellaneous.Building Permits,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Merchant Wholesaler Sales,Sales.Retail Sales,Sales.Retail Sales per Capita,Employment.Firms.American Indian-Owned,Employment.Firms.Asian-Owned,Employment.Firms.Black-Owned,Employment.Firms.Hispanic-Owned,Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned,Employment.Firms.Total,Employment.Firms.Women-Owned
77,Juneau City and Borough,AK,10.6,22.1,5.9,36.7,95.5,2572,10932,-1.0,1135,11.9,6.2,1.6,6.5,1.1,9.3,69.9,65.5,64.5,12099,13207,309900,2.58,32.2,81490,37558,6.2,204,6.5,2701.93,9.9,81.0,0,15.1,48.8,2739,31275,32406,3.6,11.6,868,0,4653,15235,5.2,3.6,1.0,0.0,0.0,3500,26.5
2627,Hays County,TX,10.0,23.6,6.0,36.7,89.3,13750,44874,3.9,3545,1.2,1.5,4.1,37.0,0.2,2.0,90.9,56.2,66.8,56459,70731,175600,2.77,22.3,58651,26873,17.0,2305,7.3,677.98,23.0,78.3,10818,29.3,50.2,10834,157107,185025,17.8,231.7,2353,4511,19546,13765,1.1,0.9,1.8,18.1,0.0,14240,26.2
1221,Essex County,MA,15.6,22.0,5.7,36.6,89.0,56791,275283,0.4,18277,0.8,3.8,6.3,18.6,0.1,2.3,86.6,73.3,63.4,286008,307765,349400,2.56,43.1,67311,35167,11.2,1357,14.9,492.56,24.0,87.7,174886,28.0,51.8,43065,743159,769091,3.5,1508.8,13014,124057,98221,13399,0.3,2.7,3.6,5.9,0.0,68102,29.7
1954,New Hanover County,NC,15.8,19.4,5.3,36.6,90.6,18388,84705,1.2,6806,0.6,1.4,14.6,5.4,0.1,2.0,81.3,76.9,58.9,86010,105532,215200,2.33,26.2,49835,29679,16.9,1749,5.6,191.53,7.6,80.2,28836,20.2,52.0,17387,202667,216298,6.7,1058.1,5255,14101,38254,20126,0.4,1.4,5.9,0.0,0.0,22306,26.6
1263,Ingham County,MI,11.9,20.4,5.7,36.5,91.1,18469,103894,2.5,6129,0.7,6.1,12.2,7.6,0.1,3.8,77.1,71.1,59.3,108823,122056,120500,2.41,28.8,45321,24754,21.9,315,8.5,556.12,11.8,75.7,0,19.8,51.5,16206,280895,284582,1.3,505.1,4460,44237,31561,11328,0.8,4.4,0.0,2.2,0.0,22700,31.3
2721,Rockwall County,TX,11.8,27.7,6.1,36.5,91.2,8134,20809,0.6,1885,0.8,2.8,6.1,17.0,0.1,1.8,88.4,72.6,83.6,26820,30626,187800,2.99,7.6,86119,34617,5.9,965,9.5,127.04,15.7,89.3,3012,30.8,51.0,5062,78337,87809,12.1,616.7,1059,0,9462,12797,0.0,0.0,3.8,5.9,0.0,8194,29.8
2801,Utah County,UT,7.2,34.9,10.2,36.5,93.6,40259,170323,4.1,11374,0.8,1.6,0.7,11.2,0.9,2.4,93.5,83.3,67.9,143005,157455,222100,3.61,22.2,60196,20774,14.0,5257,7.2,2003.45,13.1,78.1,0,21.1,49.6,17282,516564,560974,8.6,257.8,4516,24249,57721,11254,0.0,1.1,0.5,3.5,0.4,45490,24.2
2969,Jefferson County,WA,31.8,13.4,3.3,36.5,94.6,2975,6365,-0.6,1028,2.2,1.8,1.0,3.7,0.2,3.4,91.3,88.4,73.2,13801,17947,284100,2.1,8.9,46320,28266,13.3,121,3.5,1803.7,4.4,84.4,2094,23.8,50.7,4447,29872,30228,1.2,16.6,487,510,2108,7204,0.0,0.0,0.0,0.0,0.0,4007,29.4
1681,Douglas County,NE,11.5,25.8,7.6,36.4,89.5,34944,307365,1.0,15069,1.2,3.3,11.6,12.0,0.1,2.5,81.3,70.9,62.7,204226,226919,143300,2.51,27.4,53325,29180,14.3,2572,8.9,328.46,13.9,82.2,100128,18.9,50.7,34166,517110,543244,5.1,1574.4,11189,60797,81090,16306,0.5,1.9,4.4,2.1,0.1,43302,26.5
1908,Chatham County,NC,23.6,20.3,4.8,36.4,85.8,5496,12754,2.6,1304,1.2,1.8,13.1,12.8,0.1,1.5,82.2,71.4,79.9,26017,29976,211400,2.46,6.3,57091,31175,12.4,587,10.0,682.19,14.9,88.2,11296,26.6,52.1,5598,63505,68698,8.2,93.1,395,1286,5594,9113,0.0,0.0,0.0,0.0,0.0,5813,27.1
2067,Franklin County,OH,10.9,23.7,7.2,36.4,89.7,87914,599369,1.5,27088,0.3,4.6,22.2,5.1,0.1,3.0,69.8,65.7,55.1,468295,541069,150800,2.47,35.7,50877,28283,18.1,5058,9.4,532.19,12.1,80.4,142894,21.5,51.3,68862,1163414,1231393,5.8,2186.1,25963,221384,194035,17288,0.4,3.8,11.8,1.8,0.0,97456,31.9
2813,Lamoille County,VT,15.2,21.2,5.2,36.4,92.6,2751,10592,-0.1,944,0.4,0.6,0.8,1.6,0.0,1.7,96.4,95.0,71.3,10046,13148,218800,2.38,20.6,52686,27157,12.6,66,3.5,458.8,4.1,87.1,0,25.5,50.1,1628,24475,25082,2.5,53.3,1741,0,3134,12412,0.0,0.0,0.0,0.0,0.0,3479,31.4
1782,Hudson County,NJ,10.8,20.3,7.0,36.3,81.9,48782,211322,0.4,12879,1.2,15.2,15.1,43.1,0.2,2.6,65.8,29.3,32.6,243875,277166,347200,2.61,83.5,58442,32641,16.8,4621,41.2,46.19,59.2,85.9,26142,34.2,50.2,16139,634266,669115,5.5,13731.4,8807,145249,60998,10350,0.0,12.6,11.8,25.5,0.0,55520,27.7
2840,Chesterfield County,VA,12.8,24.4,5.8,36.3,90.1,20411,102530,4.9,6919,0.6,3.6,23.3,8.0,0.1,2.6,69.8,63.4,77.0,113637,126436,226500,2.78,15.3,72088,32572,6.7,1622,7.9,423.3,10.6,88.2,38499,25.5,51.8,27083,316236,332499,5.1,747.1,4915,15611,46158,15419,0.3,4.8,13.3,3.4,0.0,24079,30.4
1730,Sarpy County,NE,10.2,28.2,7.8,36.2,94.9,9443,44160,5.4,3337,0.6,2.4,4.5,8.3,0.1,2.9,89.5,82.3,70.6,59606,65910,162400,2.71,18.9,69965,30189,6.6,1276,5.4,238.99,8.2,84.2,5877,20.3,49.9,18098,158840,172193,8.4,664.6,1602,30059,22858,15630,0.0,3.1,2.3,2.0,0.0,11983,28.0
2905,Stafford County,VA,9.1,26.8,6.4,36.2,92.6,7623,29297,1.5,2144,0.7,3.3,18.0,11.3,0.2,3.9,74.0,64.8,76.9,42178,46526,299300,3.04,9.1,97110,36574,5.1,772,8.4,268.96,12.8,84.1,1408,39.4,49.6,17657,128961,139992,8.6,479.5,1403,12499,9302,7701,0.0,5.5,15.0,6.6,0.0,9051,34.1
1708,Lancaster County,NE,12.1,23.1,6.7,36.1,93.8,19668,127883,-2.3,8049,0.9,4.1,3.9,6.6,0.1,2.6,88.4,82.8,60.1,115237,124817,148600,2.4,29.6,51574,27141,15.2,1923,7.0,837.55,10.9,78.3,0,18.2,50.0,19683,285407,301795,5.7,340.8,4725,27298,36626,13351,0.4,2.4,1.6,2.0,0.0,24564,27.5
2355,Richland County,SC,11.3,22.0,5.9,36.1,89.7,25311,155345,1.1,8660,0.4,2.7,46.9,5.1,0.2,2.1,47.8,44.1,60.7,143874,166973,149800,2.5,27.8,48359,25763,17.2,2275,5.2,757.07,7.7,77.9,61097,21.0,51.5,33288,384504,401566,4.4,507.9,7336,31506,43676,12127,0.6,2.7,23.1,1.2,0.0,27370,27.5
2544,Brewster County,TX,19.4,19.6,6.3,36.1,84.8,939,2436,-9.8,270,1.7,1.2,1.4,43.1,0.1,1.9,93.6,53.0,60.7,4152,5429,111000,2.18,10.2,40477,27796,12.4,11,5.5,6183.73,39.0,77.1,0,12.5,50.1,696,9232,9173,-0.6,1.5,254,203,868,9461,0.0,0.0,0.0,0.0,0.0,1354,25.2
551,Ada County,ID,12.6,25.1,6.2,36.0,93.6,33207,174796,2.2,12216,0.8,2.6,1.3,7.7,0.2,2.7,92.4,85.5,68.1,151600,167215,183600,2.6,16.8,55210,27452,13.1,3968,5.9,1052.58,8.4,82.5,49423,19.6,49.9,29195,392365,426236,8.6,372.8,7959,60069,58551,15720,1.0,1.3,0.4,2.1,0.0,42344,25.4
2071,Greene County,OH,15.6,20.7,5.5,36.0,92.4,9451,48115,-0.3,3020,0.3,3.1,7.3,2.7,0.1,2.7,86.6,84.4,67.8,62836,69161,158000,2.44,21.2,58080,30040,13.9,250,4.5,413.73,6.2,85.0,9241,20.2,50.8,17876,161573,163820,1.4,390.5,2832,12755,20293,12776,0.0,2.4,0.0,1.4,0.0,12073,30.1
2070,Geauga County,OH,18.0,24.1,5.1,35.9,90.9,10614,27828,0.6,2755,0.1,0.7,1.3,1.4,0.0,0.9,96.9,95.7,86.6,34621,36747,224700,2.68,7.4,67663,34455,8.1,154,3.0,400.16,11.9,93.6,29644,27.6,50.6,6391,93389,94295,0.9,233.4,940,4246,9166,9332,0.0,0.3,0.0,0.4,0.0,13656,20.3
2190,Payne County,OK,11.1,19.4,5.7,35.9,90.0,4790,22120,6.0,1761,5.3,4.5,3.9,4.5,0.1,5.4,80.9,77.3,50.9,30010,35208,130800,2.33,25.9,36812,20868,25.7,303,5.6,684.7,7.0,70.9,10652,17.4,48.9,4701,77350,80264,3.8,113.0,1178,0,8184,10449,0.0,1.3,0.0,0.0,0.0,6544,21.3
2245,Allegheny County,PA,17.4,19.0,5.3,35.9,92.9,74402,696023,0.5,33583,0.2,3.4,13.4,1.9,0.0,2.0,81.0,79.6,65.5,526004,589709,122400,2.26,26.8,51366,31593,12.9,2343,5.0,730.08,6.9,87.1,157252,26.0,51.8,93347,1223348,1231255,0.6,1675.6,25403,181416,200754,16456,0.2,3.1,5.2,1.0,0.0,95698,27.6
2446,Davidson County,TN,11.1,21.5,7.0,35.9,86.4,60225,396610,3.5,18333,0.5,3.4,28.1,9.9,0.1,2.3,65.6,56.9,54.7,256745,292895,167500,2.39,37.2,47335,28467,18.5,6413,11.7,504.03,15.5,79.2,73472,23.3,51.8,38947,626681,668347,6.7,1243.3,22029,119425,105818,17029,0.6,3.4,11.1,2.9,0.1,64653,26.8
1855,Monroe County,NY,15.5,21.5,5.6,35.8,89.6,44014,344253,1.4,17458,0.4,3.6,16.1,8.1,0.1,2.5,77.3,71.5,65.1,297040,323242,136000,2.42,30.4,52394,28732,15.0,1204,8.2,657.21,12.6,85.3,166153,19.6,51.7,43341,744344,749857,0.7,1132.6,10612,67782,84960,11628,0.0,3.5,6.3,2.7,0.0,54820,31.2
2252,Bucks County,PA,16.7,21.4,4.9,35.8,93.3,49858,245793,-1.6,18930,0.3,4.6,4.1,4.9,0.1,1.6,89.4,85.3,78.0,230366,246842,309900,2.68,19.3,76555,37466,5.4,778,8.2,604.31,10.9,92.8,93163,28.3,51.0,40571,625249,626685,0.2,1034.7,9702,98595,130898,21067,0.0,3.5,1.5,2.0,0.0,65114,24.9
775,Tippecanoe County,IN,10.3,20.8,6.2,35.7,90.7,8694,64443,1.3,3369,0.4,7.2,4.9,8.0,0.1,2.0,85.4,78.1,54.2,66667,73901,130900,2.43,32.5,44246,23691,21.6,1055,10.4,499.81,14.4,72.0,0,17.6,48.9,9517,172780,183074,6.0,345.7,3159,4133,20795,12769,0.8,4.4,0.0,3.4,0.0,9383,30.5
1195,Baltimore County,MD,15.8,21.6,6.0,35.7,89.9,62218,310635,-0.5,19782,0.4,5.9,27.8,5.0,0.1,2.3,63.5,59.6,66.5,313912,336992,253300,2.52,27.9,66486,34374,8.9,1004,11.1,598.3,13.1,88.0,92471,28.8,52.7,58028,805029,826925,2.7,1345.5,14141,56093,120748,15341,0.3,6.1,17.3,2.2,0.1,76111,30.7
2806,Addison County,VT,16.9,18.2,4.3,35.6,90.7,3780,12178,-1.9,1139,0.2,1.8,1.0,2.2,0.0,1.9,95.0,93.2,74.1,14164,16941,234500,2.4,14.2,57565,28722,11.3,101,4.1,766.33,5.1,86.4,5389,23.8,49.9,2610,36821,37009,0.5,48.0,481,1014,4648,12657,0.0,0.0,0.0,0.0,0.0,5217,22.1
2861,Hanover County,VA,15.7,22.7,4.6,35.5,92.1,7514,42300,3.3,3077,0.5,1.6,9.6,2.6,0.1,1.6,86.7,84.6,83.4,36927,39863,262000,2.65,8.0,75070,33540,5.1,522,3.4,468.54,4.1,90.1,9262,25.3,51.0,7945,99863,101918,2.1,213.1,1370,34059,17063,17245,1.0,0.0,5.4,1.8,0.0,9992,23.6
2644,Jeff Davis County,TX,29.9,12.0,1.9,35.3,81.1,249,382,2.7,56,1.2,0.4,1.9,33.7,0.0,2.0,94.5,62.7,74.7,989,1616,104300,2.27,2.3,49056,26958,7.4,0,15.4,2264.56,44.8,90.4,0,20.5,49.7,259,2342,2204,-5.9,1.0,70,0,71,3227,0.0,0.0,0.0,0.0,0.0,0,0.0
265,El Paso County,CO,11.5,25.1,6.9,35.2,93.6,45032,221972,3.3,16008,1.3,3.0,7.0,16.3,0.4,4.6,83.7,70.3,63.7,237039,262154,213500,2.6,22.3,57125,28867,12.4,3533,7.2,2126.8,11.6,77.8,0,21.7,49.6,81330,622263,663519,6.6,292.6,11538,28106,79501,13578,0.7,3.0,2.5,4.9,0.1,57475,31.4
216,Placer County,CA,17.8,22.9,5.4,35.1,93.6,29974,129592,3.2,9707,1.1,7.1,1.7,13.5,0.2,4.0,85.9,74.2,70.6,132709,157446,342000,2.66,16.7,72725,34886,8.7,1990,10.6,1407.01,15.0,85.1,30234,26.9,51.2,29780,348432,371694,6.7,247.6,7736,38986,61800,18622,0.0,6.6,1.2,5.3,0.0,36890,28.3
633,Jackson County,IL,13.0,18.0,5.0,35.1,89.7,3149,17040,2.8,1310,0.5,3.9,14.9,4.2,0.1,2.9,77.7,74.5,53.4,23567,28615,100600,2.33,32.6,33479,20527,30.4,130,5.6,584.08,8.7,76.1,1773,18.5,49.8,4349,60218,59677,-0.9,103.1,1083,0,6840,11751,0.0,4.1,0.0,0.0,0.0,4209,28.3
1574,St. Charles County,MO,13.2,24.3,6.1,35.1,93.6,23420,121402,2.6,8092,0.3,2.5,4.7,3.1,0.1,1.8,90.7,87.9,80.3,135974,147221,189100,2.64,15.6,71077,31586,5.8,2646,3.7,560.44,6.2,89.1,65327,24.9,50.9,27143,360485,379493,5.3,643.2,5376,93255,44085,12822,0.2,2.1,2.0,0.8,0.0,28083,27.9
2392,Harding County,SD,15.7,22.4,7.8,35.1,91.9,186,373,-7.2,42,2.2,0.2,0.6,2.1,0.0,1.9,95.1,93.7,74.2,527,733,69400,2.39,1.3,44353,22247,17.6,6,1.8,2671.38,5.5,90.3,0,13.4,48.2,69,1255,1250,-0.4,0.5,8,0,86,7458,0.0,0.0,0.0,0.0,0.0,318,0.0
2928,Fredericksburg city,VA,10.1,20.3,7.2,35.1,90.3,1742,20593,1.7,1313,0.8,3.0,24.1,10.9,0.1,3.7,68.4,60.0,38.1,9779,11469,314300,2.38,47.5,47040,27222,18.6,23,8.9,10.44,11.8,70.4,0,25.0,54.5,1934,24286,28350,18.0,2326.2,1715,0,10521,47014,0.0,0.0,5.2,2.2,0.0,2765,28.4
2931,Harrisonburg city,VA,8.1,16.2,5.3,35.1,81.5,2446,23777,-7.7,1559,0.7,4.0,8.4,18.6,0.2,2.6,84.1,68.1,36.2,15701,18065,208100,2.7,42.1,38048,17080,33.5,152,14.7,17.42,21.8,66.7,7463,15.7,52.1,1646,48914,52478,7.3,2808.2,1686,3784,14653,33306,0.0,0.0,0.0,0.0,0.0,3693,27.4
378,Seminole County,FL,14.3,21.4,5.2,35.0,91.8,38346,152363,1.6,12639,0.4,4.1,12.2,19.2,0.1,2.5,80.6,63.6,70.5,147529,185882,184300,2.87,25.3,58175,28675,11.3,967,11.8,309.22,18.8,86.9,16347,26.3,51.6,30528,422718,442516,4.7,1367.0,7641,28526,68721,16831,0.3,3.4,5.4,11.2,0.0,46725,28.8
1769,Hillsborough County,NH,13.9,21.7,5.4,35.0,90.8,27576,173304,1.7,10764,0.3,3.8,2.6,6.0,0.1,1.8,91.4,86.4,67.4,154324,167418,249900,2.55,35.1,69829,34390,8.6,968,8.5,876.14,12.9,86.6,77076,26.7,50.4,30692,400721,405184,1.1,457.4,7323,38731,76472,18989,0.0,2.7,0.9,2.0,0.1,37748,26.3
2266,Delaware County,PA,15.0,22.4,6.0,35.0,91.8,38838,210571,2.0,12628,0.2,5.4,21.2,3.5,0.0,2.0,71.1,68.6,70.6,204771,221921,234100,2.62,24.7,64041,33179,10.3,435,9.3,183.84,11.6,90.0,190603,27.7,52.0,34153,558979,562960,0.8,3040.5,7794,42199,63584,11456,0.0,5.5,8.4,0.0,0.0,47789,28.4
309,Hartford County,CT,15.6,21.7,5.4,34.9,88.1,56271,446375,1.2,22613,0.5,5.1,15.2,17.0,0.1,2.3,76.8,63.4,65.5,347874,374695,241500,2.49,38.4,64967,34698,11.6,962,14.9,735.1,24.6,87.5,150161,22.1,51.5,52781,894014,897985,0.4,1216.2,16379,156314,138207,15811,0.5,3.9,6.3,4.1,0.0,72906,25.9
865,Polk County,IA,11.7,25.2,7.2,34.9,91.8,30761,243983,2.0,11914,0.4,4.2,6.7,8.0,0.1,2.2,86.5,79.2,69.2,173164,192980,154400,2.48,23.7,59018,30442,11.8,3350,8.5,573.8,12.5,82.2,75199,19.0,50.8,26762,430640,459862,6.8,750.5,8252,66971,67144,16130,0.3,2.1,1.9,1.8,0.1,37950,28.0
2945,Richmond city,VA,11.4,18.4,6.3,34.8,81.5,13688,122120,7.9,6000,0.6,2.4,49.7,6.6,0.2,2.2,44.7,40.2,43.1,84833,100107,196400,2.33,42.8,40496,27184,25.6,551,7.0,59.81,9.8,76.6,101921,21.7,52.3,12126,204214,217853,6.7,3414.7,4768,28433,19227,9583,0.0,3.5,20.9,1.2,0.0,15141,28.6
610,Cook County,IL,12.9,22.6,6.5,34.7,84.5,447401,2286711,2.3,129972,0.8,7.2,24.4,25.0,0.1,1.8,65.8,43.0,58.3,1933335,2175146,231200,2.65,53.8,54548,30183,16.9,7753,21.1,945.33,34.5,86.5,779328,31.7,51.5,213855,5194675,5246456,1.0,5495.1,130943,839645,605855,11571,0.6,6.9,16.4,7.2,0.1,510931,32.3
222,San Diego County,CA,12.7,22.3,6.6,34.6,85.5,246649,1181133,2.0,78379,1.3,11.9,5.6,33.2,0.6,4.3,76.3,46.7,53.8,1076483,1187625,402100,2.83,35.8,62962,30668,14.4,6875,23.4,4206.63,37.4,83.9,275410,24.4,49.8,234211,3095313,3263431,5.4,735.8,95515,337049,387106,13009,1.3,10.0,2.9,15.2,0.3,291124,29.9
1776,Burlington County,NJ,15.6,21.7,5.2,34.6,91.9,26321,179487,1.7,10557,0.3,5.0,17.5,7.5,0.1,2.7,74.4,68.9,77.8,164979,177647,252500,2.65,18.8,78446,36835,5.5,1000,9.5,798.58,12.7,90.6,60722,28.5,50.9,36014,448734,449722,0.2,561.9,6569,150408,70050,15695,0.4,4.7,8.8,0.0,0.0,34702,27.7
591,Teton County,ID,8.6,27.8,7.8,34.4,87.8,1293,1882,5.1,418,0.7,0.5,0.4,17.7,0.2,1.2,97.0,80.4,72.1,3583,5503,222700,2.82,13.7,53931,22436,11.7,28,10.2,449.46,16.1,83.3,0,26.0,48.2,420,10170,10341,1.7,22.6,107,0,840,9987,0.0,0.0,0.0,0.0,0.0,1459,0.0
1143,Lincoln Parish,LA,12.3,20.3,6.0,34.4,85.1,2755,14521,0.3,1018,0.4,1.7,41.6,2.7,0.1,1.2,55.0,53.0,54.7,16877,19732,116900,2.56,23.2,35769,20633,30.4,74,4.8,471.74,4.2,77.2,0,20.8,51.3,2587,46735,47617,1.9,99.1,724,1712,5277,12361,0.0,1.5,0.0,0.0,0.0,3441,24.1
593,Valley County,ID,21.6,18.3,4.3,34.3,92.4,1224,2927,1.4,567,1.1,0.5,0.2,4.4,0.1,1.6,96.5,92.9,77.8,3519,11906,221200,2.7,8.6,50473,25785,9.5,99,2.2,3664.52,7.2,78.6,0,15.4,48.1,1131,9862,9826,-0.4,2.7,432,204,1356,15201,0.0,0.0,0.0,0.0,0.0,2058,10.4
2474,Knox County,TN,14.5,21.5,5.8,34.3,90.2,33182,205667,-0.1,10971,0.4,2.2,9.0,3.9,0.1,2.0,86.3,83.0,65.2,181100,198917,157400,2.35,23.1,47694,28136,14.6,1912,4.7,508.22,6.3,86.8,44708,21.4,51.4,28744,432226,448644,3.8,850.5,9192,74024,82094,19329,0.6,1.9,4.9,1.7,0.0,40476,25.6
414,Cherokee County,GA,11.9,26.0,6.2,34.2,88.9,20922,42481,3.9,4830,0.5,1.9,6.6,10.1,0.1,1.9,89.0,80.1,79.1,76144,85507,190400,2.85,9.7,67261,29615,9.8,2123,8.6,421.67,12.4,87.0,8237,31.9,50.7,14589,214346,230985,7.8,508.3,2468,8489,21149,10373,0.0,1.9,3.3,3.9,0.0,22759,28.1
641,Kendall County,IL,9.0,29.8,7.3,34.2,92.5,7348,21251,0.0,2008,0.5,3.3,6.7,16.9,0.0,1.9,87.6,71.9,83.6,38075,41183,210800,3.05,9.0,81765,31276,4.8,283,9.3,320.34,17.3,88.9,6857,33.3,50.6,5821,114736,121350,5.8,358.2,999,12997,10640,10957,0.0,0.0,3.1,9.3,0.0,8311,32.8
1129,East Baton Rouge Parish,LA,12.4,22.8,6.5,34.2,88.5,36253,249626,6.7,12087,0.3,3.3,46.2,3.9,0.0,1.3,48.9,45.7,61.2,167422,191203,166000,2.57,30.5,48506,27505,19.2,1464,4.9,455.37,8.0,83.7,0,23.0,52.1,25555,440171,446042,1.3,966.6,9982,78601,70430,16353,0.0,2.9,26.9,2.5,0.0,42945,28.7
88,Sitka City and Borough,AK,13.2,22.2,6.1,34.1,91.2,1275,2867,-0.1,382,15.9,6.6,1.1,6.0,0.3,9.1,67.0,63.6,56.2,3554,4122,323200,2.42,27.2,69405,32521,10.0,17,7.7,2870.34,13.3,84.0,0,12.3,48.7,757,8881,8900,0.2,3.1,270,0,949,10875,12.8,0.0,0.0,0.0,0.0,1938,16.3
422,Columbia County,GA,11.8,26.0,6.3,34.1,91.3,8724,26336,1.8,2092,0.4,4.2,16.9,6.2,0.2,2.9,75.4,70.5,78.9,43975,53375,170400,2.9,7.4,69306,30949,8.3,1289,6.8,290.09,9.5,86.8,24112,24.5,51.1,13290,124053,139257,12.3,427.6,1190,3574,14062,12919,0.6,5.7,7.4,3.0,0.0,10081,32.0
2782,Davis County,UT,9.1,33.3,8.9,34.1,95.4,21103,75584,0.2,6499,0.7,2.0,1.4,9.1,0.7,2.5,92.7,84.7,77.7,95238,103628,222600,3.25,15.7,69707,26035,7.9,1512,4.7,298.78,8.8,86.1,49852,22.3,49.6,20019,306479,329692,7.6,1025.8,2742,0,32176,11177,0.2,1.4,0.4,2.7,0.4,25119,25.4
1222,Franklin County,MA,18.2,18.2,4.5,34.0,92.0,5922,19917,2.5,1584,0.4,1.5,1.4,3.8,0.1,2.0,94.6,91.5,68.5,30534,33668,219500,2.29,28.4,53663,29259,12.1,70,4.2,699.32,5.9,86.6,11643,24.5,51.2,5542,71372,70862,-0.7,102.1,803,4601,6910,9628,0.0,0.0,0.0,0.0,0.0,7193,31.2
1269,Kalamazoo County,MI,13.5,22.1,6.0,34.0,92.6,15771,103221,0.6,5507,0.5,2.6,11.4,4.7,0.1,3.3,82.1,78.5,64.7,100072,110316,136700,2.44,27.9,45775,25757,19.1,480,4.8,561.66,7.0,78.8,71458,20.0,51.0,15405,250331,258818,3.4,445.7,4146,12071,28088,11481,0.0,2.1,6.0,0.7,0.0,21093,31.7
2819,Windsor County,VT,20.7,18.8,4.6,34.0,92.7,6103,19669,-31.0,2043,0.3,1.1,0.9,1.4,0.0,1.6,96.2,95.0,69.8,25024,34146,216300,2.21,24.0,52460,30932,10.3,73,3.4,969.34,4.0,87.2,4064,21.8,51.1,5281,56670,56014,-1.2,58.5,1544,3277,6917,12147,0.0,0.0,0.0,0.3,0.0,8768,24.5
252,Chaffee County,CO,23.0,15.8,4.0,33.9,91.1,2113,5367,-3.6,860,1.5,0.8,1.7,10.2,0.1,1.5,94.4,85.4,76.2,7832,10319,262300,2.15,8.3,46504,27182,8.0,105,3.5,1013.4,6.3,86.7,0,14.9,47.2,2264,17809,18363,3.1,17.6,492,235,2525,14982,0.0,0.0,0.0,4.0,0.0,3369,27.8
453,Gwinnett County,GA,8.6,27.8,6.9,33.9,87.0,90033,305293,3.0,21547,0.8,11.5,27.0,20.5,0.1,2.5,58.1,40.6,68.4,266952,298611,171300,3.07,20.2,60445,25932,13.9,3379,24.9,430.38,33.0,85.2,64803,31.6,51.0,39586,805321,877922,9.0,1871.2,12646,288291,138570,17939,1.1,14.2,17.0,9.3,0.2,93820,28.6
317,New Castle County,DE,13.8,22.2,6.1,33.8,89.4,32974,270062,6.4,15452,0.4,5.2,24.9,9.4,0.1,2.3,67.1,59.5,70.0,200739,220118,246300,2.62,22.5,64537,32406,10.7,1908,10.0,426.29,14.6,85.6,202687,24.8,51.6,36340,538479,552778,2.7,1263.2,9991,0,86334,16358,0.0,5.1,10.1,2.1,0.0,43660,26.5
1230,Worcester County,MA,14.1,22.0,5.6,33.8,89.4,49892,281520,0.8,17635,0.4,4.7,5.3,10.5,0.1,2.0,87.5,78.8,65.7,299663,329085,259200,2.59,36.7,65223,31537,11.2,1268,11.3,1510.77,18.2,88.0,107060,27.9,50.7,53990,798552,813475,1.9,528.6,11507,69137,100571,12634,0.0,3.8,2.4,2.8,0.0,64114,28.2
1900,Buncombe County,NC,18.1,19.4,5.3,33.8,89.0,23896,101093,2.8,7399,0.5,1.2,6.5,6.5,0.2,2.0,89.6,83.7,64.5,100838,115680,191200,2.33,18.2,44713,26159,17.1,1312,5.7,656.67,7.4,83.9,32117,20.6,52.0,20486,238318,250539,5.1,362.9,6842,11629,35978,15862,0.0,1.3,1.7,1.4,0.0,29566,27.9
583,Madison County,ID,6.0,27.0,10.0,33.7,94.9,2421,14065,5.5,757,0.5,1.1,0.7,7.0,0.4,1.8,95.6,89.4,49.1,10323,12708,169600,3.53,43.8,32059,15133,35.8,386,4.6,469.21,10.1,60.7,0,17.1,49.7,960,37536,38038,1.3,80.0,320,1619,4076,10971,0.0,0.0,0.0,0.0,0.0,2942,15.2
1148,Orleans Parish,LA,12.1,20.4,6.1,33.7,84.5,34136,164374,4.0,8669,0.4,3.0,59.8,5.5,0.1,1.5,35.3,31.2,47.3,148398,192445,183700,2.32,41.4,37146,26500,27.3,1026,5.9,169.42,9.8,81.7,30889,23.0,52.2,19685,343829,384320,11.8,2029.4,21481,19384,27180,9434,0.7,5.2,28.9,4.1,0.0,27165,30.4
